date,nav,nav_unit,live,total,invested,coupons,mquslva,ret
2020-06-01,0.0,0.0,0,0,0,0.0,110.46062223680069,
2020-06-02,0.0,0.0,0,0,0,0.0,111.58464829626634,
2020-06-03,0.0,0.0,0,0,0,0.0,113.49214165489616,
2020-06-04,0.0,0.0,0,0,0,0.0,112.97502826251088,
2020-06-05,1.03403375,1.03403375,1,1,1,0.0,116.71198432893544,inf
2020-06-08,1.03403375,1.03403375,1,1,1,0.0,118.68433111264333,0.0
2020-06-09,1.03403375,1.03403375,1,1,1,0.0,117.32876869771178,0.0
2020-06-10,1.3358946551126845,1.3358946551126845,1,1,1,0.0,116.40505120896043,0.29192558280876657
2020-06-11,1.2604793091175177,1.2604793091175177,1,1,1,0.0,106.57741723274367,-0.05645306365029612
2020-06-12,2.309524097686877,1.1547620488434385,2,2,2,0.0,108.53355746807438,-0.08387068277074194
2020-06-15,2.3160426518257236,1.1580213259128618,2,2,2,0.0,109.38301275181523,0.002822466388367806
2020-06-16,2.331281853212894,1.165640926606447,2,2,2,0.0,111.36888567126799,0.006579844881162922
2020-06-17,2.328097474502714,1.164048737251357,2,2,2,0.0,110.95391829304624,-0.001365934670572333
2020-06-18,2.328388447677712,1.164194223838856,2,2,2,0.0,110.9918360115562,0.00012498324412302253
2020-06-19,3.357555979125612,1.119185326375204,3,3,3,0.0,110.35770227992319,-0.038660986751195225
2020-06-22,3.3628363224213143,1.1209454408071047,3,3,3,0.0,111.04580203593646,0.0015726746861497443
2020-06-23,3.366291795670601,1.1220972652235337,3,3,3,0.0,111.49609667902907,0.0010275472601053437
2020-06-24,3.6339668917319567,1.2113222972439857,3,3,3,0.0,108.59669600490804,0.07951630824327638
2020-06-25,3.6522871400713726,1.2174290466904576,3,3,3,0.0,109.75697943642318,0.005041391098278281
2020-06-26,4.936295973026928,1.234073993256732,4,4,4,0.0,107.08090382235626,0.013672210804829277
2020-06-29,4.668685849989211,1.1671714624973029,4,4,4,0.0,108.64009256664127,-0.0542127385594382
2020-06-30,4.731567471345941,1.1828918678364853,4,4,4,0.04776666666666667,110.30126902241446,0.01346880543630391
2020-07-01,4.4377859879247,1.109446496981175,4,4,4,0.04776666666666667,110.83315644236235,-0.0620896743416135
2020-07-02,4.441413654671143,1.1103534136677857,4,4,4,0.04776666666666667,111.31390265107812,0.0008174496824122635
2020-07-06,4.458055115441778,1.1145137788604444,4,4,4,0.04776666666666667,113.51926486656305,0.0037468837772254293
2020-07-07,4.446106217644018,1.1115265544110045,4,4,4,0.04776666666666667,111.93577120076839,-0.002680293869937067
2020-07-08,4.4542385037433725,1.1135596259358431,4,4,4,0.04776666666666667,113.01347926595685,0.0018290804810470185
2020-07-09,4.447923016329868,1.111980754082467,4,4,4,0.04776666666666667,112.17653727474115,-0.0014178601815318936
2020-07-10,5.492930812148194,1.098586162429639,5,5,5,0.04776666666666667,113.63084145706645,-0.012045704571461369
2020-07-13,5.775620453192339,1.1551240906384677,5,5,5,0.04776666666666667,112.23552772215224,0.05146426392608938
2020-07-14,5.49673363893434,1.099346727786868,5,5,5,0.04776666666666667,114.13480025141692,-0.048286901211427424
2020-07-15,5.506531379711403,1.1013062759422805,5,5,5,0.04776666666666667,115.43321795672901,0.0017824659917415886
2020-07-16,5.502489602239148,1.1004979204478296,5,5,5,0.04776666666666667,114.89759290292143,-0.0007339969925798107
2020-07-17,6.539455318799488,1.0899092197999147,6,6,6,0.04776666666666667,115.28614342491939,-0.009621736171574025
2020-07-20,6.549178369684703,1.0915297282807839,6,6,6,0.04776666666666667,116.57466306493367,0.0014868288582481348
2020-07-21,6.251969166666667,1.0419948611111112,6,6,6,0.04776666666666667,116.80864275614069,-0.0453811434414092
2020-07-22,6.251969166666667,1.0419948611111112,6,6,6,0.04776666666666667,117.69073168551441,0.0
2020-07-23,6.54243845601186,1.09040640933531,6,6,6,0.04776666666666667,115.68147519191068,0.046460448156698364
2020-07-24,7.868314071336338,1.1240448673337626,7,7,7,0.04776666666666667,114.67292242851535,0.030849468336267227
2020-07-27,7.577286713080453,1.0824695304400647,7,7,7,0.04776666666666667,115.78941542252392,-0.036987257450242894
2020-07-28,7.869367388110128,1.1241953411585897,7,7,7,0.04776666666666667,114.74170093361671,0.03854686856780343
2020-07-29,7.583713548129003,1.0833876497327146,7,7,7,0.04776666666666667,116.64111344210129,-0.03629946676688667
2020-07-30,7.578995887802493,1.082713698257499,7,7,7,0.04776666666666667,116.01591893706502,-0.0006220778641716773
2020-07-31,8.41557,1.05194625,8,8,8,0.1433,117.18875383415192,-0.0284169751495853
2020-08-03,8.41557,1.05194625,8,8,8,0.1433,118.3589997834282,0.0
2020-08-04,8.41557,1.05194625,8,8,8,0.1433,118.9364718602788,0.0
2020-08-05,8.41557,1.05194625,8,8,8,0.1433,119.99631122466987,0.0
2020-08-06,8.41557,1.05194625,8,8,8,0.1433,121.06524927704794,0.0
2020-08-07,9.449603750000001,1.0499559722222225,9,9,9,0.1433,121.13986941015314,-0.0018919956963368012
2020-08-10,9.449603750000001,1.0499559722222225,9,9,9,0.1433,121.62621538069868,0.0
2020-08-11,9.745847299195376,1.0828719221328196,9,9,9,0.1433,120.06150297965108,0.031349838261247154
2020-08-12,9.449603750000001,1.0499559722222225,9,9,9,0.1433,122.67283725742459,-0.030396900351581713
2020-08-13,9.449603750000001,1.0499559722222225,9,9,9,0.1433,122.23947737258727,0.0
2020-08-14,10.4836375,1.04836375,10,10,10,0.1433,122.16887277286426,-0.0015164657036547124
2020-08-17,10.4836375,1.04836375,10,10,10,0.1433,122.65673900560718,0.0
2020-08-18,10.4836375,1.04836375,10,10,10,0.1433,123.06741128593832,0.0
2020-08-19,10.4836375,1.04836375,10,10,10,0.1433,122.16912403603983,0.0
2020-08-20,10.4836375,1.04836375,10,10,10,0.1433,122.74401921653451,0.0
2020-08-21,11.517671250000001,1.0470610227272727,11,11,11,0.1433,123.37665519482921,-0.0012426290709949273
2020-08-24,11.517671250000001,1.0470610227272727,11,11,11,0.1433,125.2633159214945,0.0
2020-08-25,11.517671250000001,1.0470610227272727,11,11,11,0.1433,125.92476288665424,0.0
2020-08-26,11.517671250000001,1.0470610227272727,11,11,11,0.1433,127.88010694291927,0.0
2020-08-27,11.517671250000001,1.0470610227272727,11,11,11,0.1433,128.17345875831714,0.0
2020-08-28,12.551705000000002,1.0459754166666668,12,12,12,0.1433,129.47447158427542,-0.0010368125993061028
2020-08-31,12.990038930909309,1.0825032442424425,12,12,12,0.28659999999999997,129.00233986514053,0.034922262028091566
2020-09-01,12.695005000000002,1.0579170833333336,12,12,12,0.28659999999999997,130.4433716967702,-0.022712320761971272
2020-09-02,12.695005000000002,1.0579170833333336,12,12,12,0.28659999999999997,133.45961900210398,0.0
2020-09-03,12.971476088626932,1.0809563407189111,12,12,12,0.28659999999999997,126.2733516954969,0.021777942476346457
2020-09-04,13.994602894334543,1.076507914948811,13,13,13,0.28659999999999997,124.66988378427347,-0.004115268676939898
2020-09-08,15.105121011614425,1.161932385508802,13,13,13,0.28659999999999997,120.69950014248482,0.07935331396430367
2020-09-09,14.281566587560157,1.098582045196935,13,13,13,0.28659999999999997,123.43633086069386,-0.054521537657396646
2020-09-10,15.113480887582275,1.1625754528909442,13,13,13,0.28659999999999997,120.9343063261442,0.05825091350599809
2020-09-11,16.149031047704053,1.1535022176931466,14,14,14,0.28659999999999997,120.97689816302393,-0.007804426951588783
2020-09-14,15.604032082017731,1.1145737201441237,14,14,14,0.28659999999999997,122.95159872252333,-0.03374809077252994
2020-09-15,15.320040414155711,1.0942886010111221,14,14,14,0.28659999999999997,123.75379507988096,-0.0181998900264565
2020-09-16,15.604532899115249,1.1146094927939463,14,14,14,0.28659999999999997,122.97530676358636,0.01856995655812166
2020-09-17,15.869456982543445,1.133532641610246,14,14,14,0.28659999999999997,121.59407263557786,0.016977379915243507
